total time excited,233267,
total time image,49871.1,
total number of excited,84277,
total number of image,12441,
average time excited,2.76786,
average time image,4.00861,
2018-02-14-02-54-22-582,excited,2.69
2018-02-14-02-56-14-664,excited,2.682
2018-02-14-02-56-21-590,excited,2.673
2018-02-14-02-58-11-809,excited,2.691
2018-02-14-03-02-17-243,excited,2.67
2018-02-14-03-03-14-123,excited,2.677
2018-02-14-03-10-02-098,excited,2.684
2018-02-14-03-22-40-895,excited,2.683
2018-02-14-03-35-31-414,excited,2.685
2018-02-14-03-37-24-900,excited,2.678
2018-02-14-03-39-52-193,excited,2.677
2018-02-14-04-21-53-205,excited,2.676
2018-02-14-04-34-11-981,excited,2.674
2018-02-14-04-34-13-114,excited,1.109
2018-02-14-04-34-13-712,Image,0.598
2018-02-14-04-34-15-314,excited,1.602
2018-02-14-04-34-15-910,Image,0.597
2018-02-14-04-34-17-915,excited,2.004
2018-02-14-04-51-48-721,excited,2.68
2018-02-14-04-52-31-806,excited,2.666
2018-02-14-04-59-13-950,excited,2.668
2018-02-14-05-00-08-185,excited,2.704
2018-02-14-05-01-06-034,excited,2.665
2018-02-14-05-03-29-740,excited,2.698
2018-02-14-05-06-11-025,excited,2.686
2018-02-14-05-08-51-408,excited,2.681
2018-02-14-05-12-10-488,excited,2.674
2018-02-14-05-12-36-905,excited,2.658
2018-02-14-05-14-52-019,excited,0.215
2018-02-14-05-14-59-215,Image,7.196
2018-02-14-05-15-01-234,excited,2.019
2018-02-14-05-37-04-678,excited,0.406
2018-02-14-05-37-05-179,Image,0.5
2018-02-14-05-37-07-189,excited,2.01
2018-02-14-05-38-05-162,excited,2.683
2018-02-14-05-38-57-974,excited,2.699
2018-02-14-05-40-37-060,excited,2.702
2018-02-14-05-44-29-280,excited,2.68
2018-02-14-05-44-40-974,excited,2.676
2018-02-14-05-45-14-061,excited,2.697
2018-02-14-05-45-37-700,excited,2.68
2018-02-14-05-49-27-946,excited,2.693
2018-02-14-05-52-00-201,excited,2.683
2018-02-14-05-52-32-069,excited,2.697
2018-02-14-05-59-10-202,excited,2.707
2018-02-14-06-01-15-407,excited,2.679
2018-02-14-06-01-47-658,excited,2.666
2018-02-14-06-02-08-908,excited,2.693
2018-02-14-06-08-30-303,excited,2.676
2018-02-14-06-09-38-421,excited,2.669
2018-02-14-06-11-14-216,excited,2.686
2018-02-14-06-14-05-238,excited,2.688
2018-02-14-06-19-16-911,excited,2.686
2018-02-14-06-21-40-930,excited,2.656
2018-02-14-06-23-37-479,excited,2.687
2018-02-14-06-24-10-768,excited,2.691
2018-02-14-06-25-17-660,excited,2.677
2018-02-14-06-26-09-567,excited,2.669
2018-02-14-06-28-03-463,excited,2.681
2018-02-14-06-30-55-074,excited,2.675
2018-02-14-06-33-41-559,excited,2.656
2018-02-14-06-33-57-920,excited,2.683
2018-02-14-06-36-08-274,excited,2.802
2018-02-14-06-36-10-965,excited,2.658
2018-02-14-06-36-14-110,excited,3.116
2018-02-14-06-43-06-334,excited,2.682
2018-02-14-06-51-19-178,excited,0.114
2018-02-14-06-51-39-366,Image,20.188
2018-02-14-06-51-41-375,excited,2.008
2018-02-14-06-52-11-923,excited,2.662
2018-02-14-06-52-35-141,excited,0.229
2018-02-14-06-52-35-333,Image,0.192
2018-02-14-06-52-37-365,excited,2.031
2018-02-14-06-52-40-075,excited,2.681
2018-02-14-06-53-39-198,excited,2.673
2018-02-14-06-54-18-194,excited,2.676
2018-02-14-06-54-39-513,excited,2.68
2018-02-14-06-55-11-697,excited,2.699
2018-02-14-06-56-02-214,excited,2.704
2018-02-14-06-57-16-907,excited,2.656
2018-02-14-07-00-28-892,excited,2.677
2018-02-14-07-00-42-309,excited,2.672
2018-02-14-07-01-49-542,excited,2.667
2018-02-14-07-02-39-062,excited,2.703
2018-02-14-07-03-04-663,excited,2.67
2018-02-14-07-05-02-111,excited,2.691
2018-02-14-07-05-33-169,excited,2.692
2018-02-14-07-09-38-930,excited,2.697
2018-02-14-07-09-48-853,excited,2.685
2018-02-14-07-10-50-962,excited,2.686
2018-02-14-07-17-28-204,excited,2.68
2018-02-14-07-18-49-941,excited,2.677
2018-02-14-07-21-13-195,excited,2.667
2018-02-14-07-25-40-913,excited,2.689
2018-02-14-07-27-48-947,excited,2.665
2018-02-14-07-29-27-066,excited,2.701
2018-02-14-07-33-38-813,excited,2.685
2018-02-14-07-43-51-655,excited,0.109
2018-02-14-07-43-52-150,Image,0.495
2018-02-14-07-43-54-189,excited,2.039
2018-02-14-07-46-09-592,excited,2.686
2018-02-14-07-49-12-493,excited,2.662
2018-02-14-07-49-25-664,excited,0.082
2018-02-14-07-49-27-754,Image,2.09
2018-02-14-07-49-29-764,excited,2.009
2018-02-14-07-49-45-594,excited,2.692
2018-02-14-07-50-22-116,excited,2.667
2018-02-14-07-55-01-659,excited,2.691
2018-02-14-07-55-52-153,excited,2.674
2018-02-14-07-57-33-846,excited,2.681
2018-02-14-08-00-12-550,excited,2.69
2018-02-14-08-00-37-077,excited,2.681
2018-02-14-08-00-57-136,excited,2.703
2018-02-14-08-02-46-838,excited,2.692
2018-02-14-08-02-58-965,excited,2.695
2018-02-14-08-03-45-540,excited,2.688
